Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Ecommerce Manager,Marketing & Communications,Apex Auto Salvage,Retail & Consumer Products,Minnesota
Biology of Global Health,NATURAL & HEALTH SCIENCES,Biological Sciences,Opus College of Business,Bachelor's Degree,2024,Microbiologist,Research & Science,Apex International,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Technical Recruiter,Human Resources,Apex Systems,Professional Services & Consulting,Virginia
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Accounting Associate,Finance & Accounting,APi Group,"Construction, Engineering & Real Estate",Minnesota
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,School of Engineering,Bachelor's Degree,2024,Small Animal Technician,Engineering,APS,Professional Services & Consulting,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,School of Engineering,Bachelor's Degree,2024,Campaign Manager,Marketing & Communications,Arcanum Consulting Inc.,Professional Services & Consulting,Minnesota
Environmental Studies,NATURAL & HEALTH SCIENCES,Environmental Sciences,Opus College of Business,Bachelor's Degree,2024,Youth Minister,Nonprofit & Social Services,Archdiocese St. Paul-Minneapolis,Government & Public Service,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Manufacturing Engineer,Engineering,Arctic Cat,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,School of Engineering,Bachelor's Degree,2024,SDR,Sales & Business Development,Arctic Wolf,Technology & Software,Minnesota
Economics - Business,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's Degree,2024,Machine Learning Consultant,Data & Analytics,Ashling Partners,Professional Services & Consulting,Wisconsin
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Account Manager,Sales & Business Development,Asmodee Group,Retail & Consumer Products,Do not live in the United States
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Associate Controls Engineer,Engineering,Aspect Automation,Manufacturing & Industrial,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,Private Pilot,Education & Teaching,ATP Flight School,Education & Academia,Florida
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Underwriter,Finance & Accounting,Auto-Owners Insurance,Financial Services & Insurance,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,College of Arts & Sciences,Bachelor's Degree,2024,Project Management Office Intern,Operations & Supply Chain,BAE Systems,Manufacturing & Industrial,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Health,Bachelor's Degree,2024,Software Verification Engineer,Software & IT,Abbott Northwestern Hospital,Healthcare & Medical,Illinois
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Associate Application Engineer,Software & IT,Banner Engineering,Manufacturing & Industrial,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Associate Mechanical Design Engineer,Engineering,Banner Engineering,Manufacturing & Industrial,Minnesota
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,Opus College of Business,Bachelor's Degree,2024,Key Holder,Sales & Business Development,Bath and Body Works,Retail & Consumer Products,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Trader,Operations & Supply Chain,Bayside Metal Exchange,Manufacturing & Industrial,California
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Tax Associate,Finance & Accounting,"BDO USA, LLP",Financial Services & Insurance,Minnesota
K-12 Music Education,EDUCATION & SOCIAL SERVICES,Teacher Education,Opus College of Business,Bachelor's Degree,2024,Resident Assistant,Education & Teaching,Amerigo Education,Education & Academia,Illinois
English - Professional Writing,"ARTS, LANGUAGES & THEOLOGY",English & Writing,Opus College of Business,Bachelor's Degree,2024,Technical Writer,Marketing & Communications,Be the Match,Healthcare & Medical,Minnesota
International Business,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's Degree,2024,Staffing Consultant,Human Resources,Beacon Hill Staffing Group,Professional Services & Consulting,Massachusetts
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Behavioral Health Office Manager,Healthcare & Clinical,Behavioral Health Alliance,Healthcare & Medical,Minnesota
Economics - Business,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's Degree,2024,Fraud Analyst,Sales & Business Development,Best Buy,Retail & Consumer Products,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,E-commerce analyst,Marketing & Communications,Best Buy,Retail & Consumer Products,Minnesota
Sociology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,School of Education,Bachelor's Degree,2024,Office Manager,Management & Leadership,Better Outlook MN,Healthcare & Medical,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Opus College of Business,Bachelor's Degree,2024,QE Automation Engineer,Engineering,Bind Benefits,Healthcare & Medical,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Inside Sales Specialist,Sales & Business Development,Bio-Techne,Technology & Software,Minnesota
Biochemistry,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Research Associate,Research & Science,Bio-techne,Technology & Software,Wisconsin
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Arts & Sciences,Bachelor's Degree,2024,Server,Sales & Business Development,Black coffee and waffle bar,Retail & Consumer Products,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Analyst,Software & IT,Bloomberg LP,Technology & Software,New York
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Service runner,Operations & Supply Chain,"BMW of North America, LLC",Manufacturing & Industrial,New Jersey
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Water Resources Design Engineer,Engineering,Bolton & Menk,"Construction, Engineering & Real Estate",Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Process Development Engineer,Engineering,Boston Scientific,Healthcare & Medical,Massachusetts
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Laboratory Assistant,Research & Science,Boston Scientific,Healthcare & Medical,Massachusetts
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,School of Engineering,Bachelor's Degree,2024,Audit Associate,Finance & Accounting,Boulay,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Wealth Management Associate,Finance & Accounting,Boulay,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Planning assistant,Finance & Accounting,Box financial,Financial Services & Insurance,Minnesota
Sociology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Opus College of Business,Bachelor's Degree,2024,Teen Specialist,Government & Public Service,Boys and Girls Club of the Twin Cities,Government & Public Service,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,Server,Sales & Business Development,Brackett's Crossing Country Club,Retail & Consumer Products,Minnesota
COJO Persuasion/Soc Influence,COMMUNICATION & MEDIA,Communication Studies,College of Arts & Sciences,Bachelor's Degree,2024,Digital Marketing Specialist,Marketing & Communications,Brandpoint,Professional Services & Consulting,Minnesota
Geology,NATURAL & HEALTH SCIENCES,Physical Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Staff Scientist,Research & Science,Braun Intertec Corporation,"Construction, Engineering & Real Estate",Minnesota
Economics,BUSINESS & MANAGEMENT,Economics,College of Health,Bachelor's Degree,2024,Marketing Grand Vacation Specialist,Marketing & Communications,Breckenridge Grand Vacations,Retail & Consumer Products,Colorado
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,School of Engineering,Bachelor's Degree,2024,Credit Analyst,Finance & Accounting,Bridgewater Bank,Financial Services & Insurance,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,School of Engineering,Bachelor's Degree,2024,Actuarial Analyst,Finance & Accounting,Bright Health,Healthcare & Medical,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Sales Representative,Sales & Business Development,BriteBelt Int.,Manufacturing & Industrial,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Project Engineer,Engineering,Bühler Group,Manufacturing & Industrial,Minnesota
Economics - Mathematical,SOCIAL SCIENCES & HUMANITIES,Economics,School of Engineering,Bachelor's Degree,2024,Transfer Pricing Associate,Finance & Accounting,"BDO USA, LLP",Financial Services & Insurance,Illinois
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Account Executive,Sales & Business Development,C.H Robinson,Professional Services & Consulting,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Business Development Representative,Sales & Business Development,C.H. Robinson,Professional Services & Consulting,Minnesota
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's Degree,2024,Carrier Sales Representative,Sales & Business Development,C.H. Robinson,Professional Services & Consulting,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Financial Analyst,Finance & Accounting,Cambria,Manufacturing & Industrial,Minnesota
Economics - Business,BUSINESS & MANAGEMENT,Economics,College of Health,Bachelor's Degree,2024,Business Transformation Analyst,Operations & Supply Chain,Cambria,Manufacturing & Industrial,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Mechanical Engineer,Engineering,Cantel Medical,Healthcare & Medical,New Jersey
Environmental Sci (Biology),NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Stormwater BMP Technician,Engineering,Capitol Region Watershed District,Government & Public Service,Minnesota
English - Creative Writing,COMMUNICATION & MEDIA,Creative Writing,Opus College of Business,Bachelor's Degree,2024,Caption Editor,Marketing & Communications,Captionmax,Retail & Consumer Products,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's Degree,2024,IT and Information Security Consultant,Consulting & Advisory,Cardigan Donuts,Retail & Consumer Products,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Personal Care Assistant,Healthcare & Clinical,"CARE PLANNERS HOME HEALTH CARE, LLC",Healthcare & Medical,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Barista,Sales & Business Development,Caribou Coffee,Retail & Consumer Products,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Store Leader,Sales & Business Development,Caribou Coffee,Retail & Consumer Products,Minnesota
Spanish Linguistics/Lang. St.,"ARTS, LANGUAGES & THEOLOGY",Languages,College of Arts & Sciences,Bachelor's Degree,2024,Billing Assistant,Healthcare & Clinical,"Caring Professionals Homecare, LLC",Healthcare & Medical,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,Opus College of Business,Bachelor's Degree,2024,3rd Grade Teacher,Education & Teaching,Carondelet Catholic School,Education & Academia,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Associate Accountant,Finance & Accounting,CBRE,"Construction, Engineering & Real Estate",Minnesota
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's Degree,2024,Workplace Experience Coordinator,Engineering,CBRE,"Construction, Engineering & Real Estate",Texas
COJO Strategic Communications,COMMUNICATION & MEDIA,Communication Studies,College of Arts & Sciences,Bachelor's Degree,2024,Client Services Coordinator,Engineering,CBRE,"Construction, Engineering & Real Estate",Texas
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's Degree,2024,"Building Maintenance, Surveyor",Construction & Trades,CBS Squared Inc.,"Construction, Engineering & Real Estate",Minnesota
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Opus College of Business,Bachelor's Degree,2024,Framer,Software & IT,CCC,Technology & Software,Minnesota
Computer Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Associate Consulting Engineer,Engineering,CDW,Technology & Software,Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Environmental Specialist,Operations & Supply Chain,Cemstone,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Marketing Contractor,Marketing & Communications,Central McGowan,Manufacturing & Industrial,Minnesota
Economics - Business,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's Degree,2024,Business analysis intern,Operations & Supply Chain,Ceramic industrial coatings,Manufacturing & Industrial,Minnesota
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's Degree,2024,Operations Specialist,Operations & Supply Chain,CH Robinson,Professional Services & Consulting,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Trivia Jockey,Sales & Business Development,Challenge Entertainment,Retail & Consumer Products,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Investment Banking Analyst,Finance & Accounting,Chartwell Financial Advisory,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Analyst,Finance & Accounting,"Chartwell Financial Advisory, Inc.",Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Investment Banking Analyst,Finance & Accounting,Cherry Tree & Associates,Financial Services & Insurance,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,Team Lead,Management & Leadership,Chick-fil-A-Franchise,Retail & Consumer Products,Georgia
Political Science,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Opus College of Business,Bachelor's Degree,2024,Public Health Assistant,Healthcare & Clinical,Children’s Dental Services,Healthcare & Medical,Minnesota
Sociology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,School of Engineering,Bachelor's Degree,2024,Assistant Teacher,Education & Teaching,Children's Discovery Academy,Education & Academia,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Associate Underwriter,Finance & Accounting,Burns & Wilcox,Financial Services & Insurance,Illinois
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Underwriter Account Representative,Finance & Accounting,Chubb Insurance,Financial Services & Insurance,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Service Sales Representative,Sales & Business Development,Cintas,Professional Services & Consulting,Ohio
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Ice Resurfacer,Government & Public Service,"City of Apple Valley, MN",Government & Public Service,Minnesota
Political Science,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Administration Intern,Administrative & Support,City of Cottage Grove,Government & Public Service,Minnesota
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,Opus College of Business,Bachelor's Degree,2024,Analyst - Health Department,Government & Public Service,City of Minneapolis,Government & Public Service,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Health,Bachelor's Degree,2024,Design and Production Engineer,Engineering,"Clarus Medical, LLC",Healthcare & Medical,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Associate,Finance & Accounting,Clifton Larson Allen,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,M&A - Investment Banking Analyst,Finance & Accounting,CliftonLarsonAllen (CLA),Financial Services & Insurance,Minnesota
Economics,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's Degree,2024,Business Intern,Software & IT,"Clockwise, Inc.",Technology & Software,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Client Intake/Compliance Coordinator,Finance & Accounting,Clyde & Co,Professional Services & Consulting,Do not live in the United States
COJO Strategic Communications,COMMUNICATION & MEDIA,Communication Studies,School of Education,Bachelor's Degree,2024,Account Coordinator,Sales & Business Development,Collective Measures | Performance Marketing,Professional Services & Consulting,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,College coach,Education & Teaching,College Possible,Education & Academia,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Assistant Media Planner,Marketing & Communications,Collemcvoy,Professional Services & Consulting,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Associate Engineer,Engineering,Collins Aerospace,Manufacturing & Industrial,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,Opus College of Business,Bachelor's Degree,2024,3rd grade teacher,Education & Teaching,Community of Peace Academy,Education & Academia,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Opus College of Business,Bachelor's Degree,2024,Software Engineer,Software & IT,Compute North,Technology & Software,Minnesota
Economics - Public Policy,SOCIAL SCIENCES & HUMANITIES,Economics,Opus College of Business,Bachelor's Degree,2024,Cultural Language Assistant,Government & Public Service,Comunidad de Madrid,Government & Public Service,Do not live in the United States
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,School of Engineering,Bachelor's Degree,2024,President,Management & Leadership,Concept Financial Goup,Financial Services & Insurance,Minnesota
Political Science,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Digital Fundraising Manager,Marketing & Communications,Congressional Leadership Fund,Government & Public Service,Virginia
History,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,College of Arts & Sciences,Bachelor's Degree,2024,Laborer,Engineering,Covenant Building and Remodeling,"Construction, Engineering & Real Estate",Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,"Hostess, Waiters Assistant",Sales & Business Development,CRAVE American Kitchen & Sushi Bar,Retail & Consumer Products,Minnesota
Digital Media Arts,COMMUNICATION & MEDIA,Journalism & Media,College of Arts & Sciences,Bachelor's Degree,2024,Associate Designer,Design & Creative,Creed Interactive,Technology & Software,Minnesota
Political Science,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Information Security Risk and Compliance Analyst,Finance & Accounting,Cricket Health,Healthcare & Medical,Minnesota
K-12 World Lang. & Cultures,EDUCATION & SOCIAL SERVICES,Teacher Education,School of Engineering,Bachelor's Degree,2024,Spanish teacher,Education & Teaching,Cristo Rey Jusuit High School,Education & Academia,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Cost and Data Analyst,Consulting & Advisory,Currie & Brown,Professional Services & Consulting,Do not live in the United States
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Accounting Assistant,Finance & Accounting,Chowbus,Technology & Software,Illinois
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Associate Broker,Sales & Business Development,Cushman & Wakefield,"Construction, Engineering & Real Estate",Illinois
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,School of Engineering,Bachelor's Degree,2024,Pharmacy technician,Healthcare & Clinical,CVS,Healthcare & Medical,Minnesota
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,Opus College of Business,Bachelor's Degree,2024,Pharmacy technician,Healthcare & Clinical,Cvs,Healthcare & Medical,Minnesota
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's Degree,2024,Associate Recruiter,Human Resources,Dahl Consulting,Professional Services & Consulting,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Product Engineer,Engineering,Daikin Applied,Manufacturing & Industrial,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,Carrier Sales Representative,Sales & Business Development,Dedicated Logistics Services,Professional Services & Consulting,Minnesota
Biochemistry,NATURAL & HEALTH SCIENCES,Biological Sciences,Opus College of Business,Bachelor's Degree,2024,Automotive Mechanic,Construction & Trades,Deep Rock,Manufacturing & Industrial,Colorado
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Mechanical Engineer,Engineering,Delkor,Manufacturing & Industrial,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Audit Associate,Finance & Accounting,Deloitte,Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Accounting Associate,Finance & Accounting,Deloitte,Professional Services & Consulting,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Actuarial analyst t,Finance & Accounting,Deloitte,Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Tax Consultant,Finance & Accounting,Deloitte,Professional Services & Consulting,Minnesota
French,"ARTS, LANGUAGES & THEOLOGY",Languages,College of Arts & Sciences,Bachelor's Degree,2024,Analyst,Consulting & Advisory,Deloitte,Professional Services & Consulting,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,School of Engineering,Bachelor's Degree,2024,Tax Consultant,Finance & Accounting,Deloitte,Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,School of Engineering,Bachelor's Degree,2024,Tax Intern,Finance & Accounting,Deloitte,Professional Services & Consulting,Minnesota
Economics,BUSINESS & MANAGEMENT,Economics,School of Engineering,Bachelor's Degree,2024,Customer Service Representative,Sales & Business Development,Delta Air Lines,Professional Services & Consulting,Georgia
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,School of Engineering,Bachelor's Degree,2024,Human Resources Service Center Representative,Human Resources,Deluxe,Technology & Software,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,HR Assistant,Human Resources,Department of Corrections-Wisconsin,Government & Public Service,Wisconsin
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Medical Analyst,Healthcare & Clinical,Department of Veteran's Affairs,Government & Public Service,Minnesota
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,Opus College of Business,Bachelor's Degree,2024,MIT Program,Consulting & Advisory,Destined Consulting Solutions,Professional Services & Consulting,Minnesota
Economics - Business,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's Degree,2024,Data Analyst,Software & IT,Digital Strategies Inc,Technology & Software,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,Opus College of Business,Bachelor's Degree,2024,Bartender and Server,Sales & Business Development,Dog Haus,Retail & Consumer Products,California
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Delivery Driver,Software & IT,DoorDash,Technology & Software,California
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Delivery Driver,Software & IT,DoorDash Driver App,Technology & Software,California
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Customer Experience Associate,Sales & Business Development,DraftKings,Retail & Consumer Products,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Urban Realtor,Real Estate,DRG,Technology & Software,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's Degree,2024,Neural Network Engineer,Software & IT,DRPM,Professional Services & Consulting,Minnesota
History,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,College of Arts & Sciences,Bachelor's Degree,2024,Barista,Sales & Business Development,Dunn Brothers Coffee,Retail & Consumer Products,Minnesota
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's Degree,2024,Human Resources Assistant,Human Resources,Eagle Creek,Technology & Software,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Opus College of Business,Bachelor's Degree,2024,Analyst,Software & IT,Eagle Creek Technology,Technology & Software,North Dakota
Music - Business,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Opus College of Business,Bachelor's Degree,2024,Management Coordinator,Sales & Business Development,Eclipse Music Group,Retail & Consumer Products,Tennessee
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,School of Education,Bachelor's Degree,2024,Chemist,Research & Science,Ecolab,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Marketing Associate,Marketing & Communications,Ecolab,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Procurement Specialist,Operations & Supply Chain,Ecolab,Manufacturing & Industrial,Minnesota
Economics - Business,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's Degree,2024,Financial Analyst,Finance & Accounting,Ecolab,Manufacturing & Industrial,Minnesota
