Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year
Economics - International,,,College of Arts & Sciences,Bachelor's degree,North Dakota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Mathematics (Applied Track),,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
MS Operations & Supply Chain Mgmt,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Human Resources Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Data Analytics,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Wisconsin,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Wisconsin,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Bus Admin - Communication,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Statistics,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Leadership & Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Biochemistry,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Economics - Business,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Accounting,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Wisconsin,2022
Leadership & Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Accounting,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Gen Business Mgmt,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Accounting,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Exercise Science,,,College of Health,Bachelor's degree,Wisconsin,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Communication Studies,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Public Health,,,College of Health,Bachelor's degree,Wisconsin,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Elementary Education (K-6),,,School of Education,Bachelor's degree,Wisconsin,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
MS Operations & Supply Chain Mgmt,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Electrical Engineering,,,School of Engineering,Bachelor's degree,Wisconsin,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
MS Operations & Supply Chain Mgmt,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
Liberal Arts,,,Dougherty Family College,Bachelor's degree,,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Biology of Global Health,,,College of Arts & Sciences,Bachelor's degree,,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,,2022
Financial Management,,,Opus College of Business,Bachelor's degree,,2022
MS Operations & Supply Chain Mgmt,IT Analyst,3M,Opus College of Business,Bachelor's degree,,2023
Mechanical Engineering,Research Assistant,3M,School of Engineering,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,Technology Services Intern,3M,Opus College of Business,Bachelor's degree,Minnesota,2023
Gen Business Mgmt,Integrated Marketing Coordinator,3M,Opus College of Business,Bachelor's degree,Minnesota,2023
Leadership & Management,,Abcom USA,Opus College of Business,Bachelor's degree,Minnesota,2023
Leadership & Management,National Vice President,Abcom USA,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Special Projects Assistant,Acowsay Designs,Opus College of Business,Bachelor's degree,Minnesota,2023
Biology of Global Health,Direct Care Professional,Acr Homes,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,Associate District Manager,ADP,Opus College of Business,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Sales Engineer,Advanced Inspection Services,School of Engineering,Bachelor's degree,Minnesota,2023
Financial Management,Underwriter,Alive Risk,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Commercial Portfolio Manager,Alliance Bank,Opus College of Business,Bachelor's degree,Minnesota,2023
Civil Engineering,Transportation Engineer,Alliant Engineering,School of Engineering,Bachelor's degree,Minnesota,2023
Communication Studies,Consultant,Allianz,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Actuarial Science,Actuarial Analyst,Allianz,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Internal Sales Consultant,Allianz,Opus College of Business,Bachelor's degree,Minnesota,2023
Actuarial Science,Actuarial Analyst,Allianz,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Actuarial Science,Actuarial Analyst,Allianz,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Neuroscience,Laboratory Assistant,Allina Health,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Biology,Emergency Medical Technician,Allina Health,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Criminal Justice,Guest Lead,Altar'd State,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Leadership & Management,Area Manager,Amazon,Opus College of Business,Bachelor's degree,Minnesota,2023
Civil Engineering,Field Engineer,"American Engineering Testing, Inc.",School of Engineering,Bachelor's degree,Minnesota,2023
Actuarial Science,Investment Analyst,American Equity Investment Life Insurance,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Civil Engineering,Chapter Treasurer,American Society of Civil Engineers,School of Engineering,Bachelor's degree,Minnesota,2023
Financial Management,Leadership Development Program Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,Leadership Development Program Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023
Data Analytics,Leadership Development Program Associate,Ameriprise Financial,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Client Support Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Leadership Development Program Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023
International Business,Leadership Development Program Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Financial Advisor,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Business Systems Analyst,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023
Entrepreneurship,Customer Service Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Compensation Analyst,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023
Civil Engineering,Civil Engineer,Ami Consulting Engineers,School of Engineering,Bachelor's degree,Minnesota,2023
Financial Management,Partner Specialist,CDW,Opus College of Business,Bachelor's degree,Illinois,2023
Leadership & Management,Digital Marketing Coordinator,Andersen Global,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Operational Financial Analyst,Andersen Global,Opus College of Business,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Manufacturing Engineer,Andersen Global,School of Engineering,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Manufacturing Engineer,Andersen Windows,School of Engineering,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,ERP Coordinator,Andpak Midwest,Opus College of Business,Bachelor's degree,Minnesota,2023
Elementary Education (K-6),Teacher,Anoka-Hennepin School District,School of Education,Bachelor's degree,Minnesota,2023
Gen Business Mgmt,Server,Applebee's,Opus College of Business,Bachelor's degree,Minnesota,2023
Actuarial Science,Operations Assistant,Arch Capital Group Ltd.,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Computer Science,Security Analyst,Arctic Wolf,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Exercise Science,Director of Athletic Performance,Arkansas State University,College of Health,Bachelor's degree,Arkansas,2023
Economics - Business,Model,Arquette Agency,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,Account Coordinator,Arrowhead Promotion & Fulfillment,Opus College of Business,Bachelor's degree,Minnesota,2023
Leadership & Management,Major Gifts Officer,Ascension Academy,Opus College of Business,Bachelor's degree,Minnesota,2023
Psychology,Technical Recruiter,ASGN,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Investment Banking Analyst,Chartwell Financial Advisory,Opus College of Business,Bachelor's degree,Illinois,2023
Biology,Emergency Medical Technician,Aspirus,College of Arts & Sciences,Bachelor's degree,Wisconsin,2023
Accounting,Audit and Assurance Assistant,Deloitte,Opus College of Business,Bachelor's degree,Illinois,2023
Communication Studies,Sales Coordinator,Bally Sports,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Bus Admin - Communication,Recruitment Specialist,BAMCIS Talent,Opus College of Business,Bachelor's degree,Minnesota,2023
Marketing Management,Inside Sales Specialist,Banner Engineering,Opus College of Business,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Mechanical Design Engineer,Banner Engineering,School of Engineering,Bachelor's degree,Minnesota,2023
Marketing Management,Marketing Coordinator,Baseline Fitness,Opus College of Business,Bachelor's degree,Minnesota,2023
Biology,Environmental Field Technician,Bay West,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Accounting,Audit Associate,BDO,Opus College of Business,Bachelor's degree,Minnesota,2023
Accounting,Audit Associate,BDO,Opus College of Business,Bachelor's degree,Minnesota,2023
Computer Science,Software Engineering Associate,Best Buy,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,Demand Planner,Best Buy,Opus College of Business,Bachelor's degree,Minnesota,2023
Computer Science,Software Engineering Associate,Best Buy,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Entrepreneurship,Merchant Analyst,Best Buy,Opus College of Business,Bachelor's degree,Minnesota,2023
Political Science,Consultation Agent,Best Buy,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Financial Management,Crowd Manager,BEST Crowd Management,Opus College of Business,Bachelor's degree,Minnesota,2023
Entrepreneurship,Business Development Representative,Betteryou Ltd,Opus College of Business,Bachelor's degree,Minnesota,2023
Environmental Science,Geologist,"Big Rock Exploration, Llc.",College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Environmental Science,Geologist,"Big Rock Exploration, Llc.",College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Geology,Geologist,"Big Rock Exploration, Llc.",College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,Brand Ambassador,Biiah,Opus College of Business,Bachelor's degree,Minnesota,2023
Spanish Cultural/Literary St.,Communications Coordinator,Bilingual Learning Center,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Shift Leader,Bills Superette,School of Engineering,Bachelor's degree,Minnesota,2023
Exercise Science,Client Service Associate,Biomedix,College of Health,Bachelor's degree,Minnesota,2023
Mechanical Engineering,Research and Development Engineer,Biomerics,School of Engineering,Bachelor's degree,Minnesota,2023
Biology of Global Health,Scientific Associate,Bio-Techne,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Computer Science,Software Engineer,Bloomberg,College of Arts & Sciences,Bachelor's degree,New York,2023
Gen Business Mgmt,Account Management Intern,Blue Cross Blue Shield,Opus College of Business,Bachelor's degree,Minnesota,2023
Financial Management,Analyst,Blue Ops Partners,Opus College of Business,Bachelor's degree,Minnesota,2023
Economics - Business,Financial Analyst,Blue Ops Partners,College of Arts & Sciences,Bachelor's degree,Minnesota,2023
Marketing Management,Media Research Intern,Bold Orange,Opus College of Business,Bachelor's degree,Minnesota,2023
MS Operations & Supply Chain Mgmt,Supply Chain Specialist,Border States Electric,Opus College of Business,Bachelor's degree,Minnesota,2023
Entrepreneurship,Associate,Boston Consulting Group,Opus College of Business,Bachelor's degree,Minnesota,2023
Electrical Engineering,Supplier Engineer,Boston Scientific,School of Engineering,Bachelor's degree,Minnesota,2023
Electrical Engineering,Electrical Engineer,Boston Scientific,School of Engineering,Bachelor's degree,Minnesota,2023
