Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year,Major Cluster,Major Subcluster,Industry Group,Job Function
Exercise Science,Sports Medicine Assistant,University of St. Thomas,College of Health,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,Education & Academia,Education & Teaching
Mechanical Engineering,Laboratory Assistant,University of St. Thomas,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Education & Academia,Research & Science
Social Work,Psychology Assistant,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,EDUCATION & SOCIAL SERVICES,Social Work,Education & Academia,Healthcare & Clinical
MS Operations & Supply Chain Mgmt,Volunteer Coordinator,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Education & Academia,Education & Teaching
Political Science,Experience Coordinator,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Education & Academia,Education & Teaching
Statistics,Service Excellence Manager,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Physical Sciences,Education & Academia,Management & Leadership
Biochemistry,Laboratory Assistant,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Education & Academia,Research & Science
Financial Management,Mailroom Specialist,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Education & Academia,Education & Teaching
Human Resources Management,Resident Assistant,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Education & Academia,Education & Teaching
Music - Business,Office Assistant,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Education & Academia,Administrative & Support
Digital Media Arts,Print Graphic Designer,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Journalism & Media,Education & Academia,Marketing & Communications
Mechanical Engineering,Research Assistant,University of St. Thomas,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Education & Academia,Research & Science
K-12 Music Education,Music Educator,University of St. Thomas,School of Education,Bachelor's degree,Minnesota,2023,EDUCATION & SOCIAL SERVICES,Teacher Education,Education & Academia,Education & Teaching
Psychology,Statistics Teaching Assistant,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Education & Academia,Education & Teaching
Computer Engineering,Laboratory Manager,University of St. Thomas,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Education & Academia,Research & Science
Intl Studies - Pol Sci,Study Abroad Peer Advisor,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,International Studies,Education & Academia,Consulting & Advisory
Mathematics (Applied Track),Math Tutor,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Physical Sciences,Education & Academia,Education & Teaching
Mechanical Engineering,System Operator,University of St. Thomas,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Education & Academia,Education & Teaching
Marketing Management,,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Education & Academia,Other
Computer Science,,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Computer Science & IT,Education & Academia,Other
Public Health,Peer Health Educator,University of St. Thomas,College of Health,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,Education & Academia,Education & Teaching
Mechanical Engineering,Resident Advisor,University of St. Thomas,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Education & Academia,Consulting & Advisory
Marketing Management,Student-Athlete Mentor,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Education & Academia,Education & Teaching
Mathematics (Applied Track),Study Group Leader,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,South Dakota,2023,NATURAL & HEALTH SCIENCES,Physical Sciences,Education & Academia,Education & Teaching
Law & Compliance,Study Abroad Peer Advisor,University of St. Thomas,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Education & Academia,Consulting & Advisory
Communication Studies,Resident Advisor,University of St. Thomas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Communication Studies,Education & Academia,Consulting & Advisory
Mechanical Engineering,,University of St. Thomas,School of Engineering,Bachelor's degree,Indiana,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Education & Academia,Other
Marketing Management,Product Specialist,Urban Outfitters,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Sales & Business Development
Music - Business,Teacher,Urban Ventures,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Government & Public Service,Education & Teaching
Criminal Justice,Paralegal,US Attorney's Office,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Government & Public Service,Legal
Communication Studies,Safety Coordinator,US Bank,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Communication Studies,Financial Services & Insurance,Operations & Supply Chain
Data Analytics,Wealth Management Analyst,US Bank,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Financial Services & Insurance,Finance & Accounting
International Business,,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Financial Services & Insurance,Other
Financial Management,,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Other
Bus Admin - Communication,Human Resources Coordinator,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Financial Services & Insurance,Human Resources
Statistics,,US Bank,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Physical Sciences,Financial Services & Insurance,Other
Financial Management,Tax Accountant,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Marketing Management,Project Analyst,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Financial Services & Insurance,Finance & Accounting
Marketing Management,Business Banking Assistant,US Bank,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Financial Services & Insurance,Finance & Accounting
Financial Management,Appraisal Analyst,Valbridge Property Advisors,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,"Construction, Engineering & Real Estate",Finance & Accounting
Biology,Medical Assistant,Valley Medical,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Neuroscience,Tax Associate,Valtinson Financial Group,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Financial Services & Insurance,Finance & Accounting
Philosophy,Sales Representative,Vector Marketing,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Professional Services & Consulting,Sales & Business Development
Neuroscience,Personal Care Assistant,Villages of Lonsdale,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,"Construction, Engineering & Real Estate",Healthcare & Clinical
Financial Management,Financial Planning Analyst,Voyage Wealth Architects,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Political Science,,,College of Arts & Sciences,Bachelor's degree,Illinois,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Middle/Secondary Education,Teacher,Waconia Public Schools,School of Education,Bachelor's degree,Minnesota,2023,EDUCATION & SOCIAL SERVICES,Teacher Education,Education & Academia,Education & Teaching
Biology,Resident Aide,Walker Methodist,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Government & Public Service,Government & Public Service
Law & Compliance,Compliance Analyst,"Walleye Capital Partners, LP",Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Financial Services & Insurance,Finance & Accounting
Public Health,Clinical Research Associate,Wavemed,College of Health,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,Healthcare & Medical,Healthcare & Clinical
Digital Media Arts,Digital Content Producer,WCCO-TV,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Journalism & Media,Retail & Consumer Products,Sales & Business Development
Data Analytics,Data Engineer,Wells Fargo,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Financial Services & Insurance,Data & Analytics
Financial Management,Analyst,Wells Fargo,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Financial Analyst,Wells Fargo,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Philosophy,,,College of Arts & Sciences,Bachelor's degree,Illinois,2024,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Other,Other
Psychology,,,College of Arts & Sciences,Bachelor's degree,Illinois,2024,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Other,Other
Financial Management,Owner,Wentzel Wealth Management,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Economics - Mathematical,Support Specialist,Western National Insurance,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Economics,Financial Services & Insurance,Finance & Accounting
Civil Engineering,Staff Design Engineer,Westwood Professional Services,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Civil Engineering,Transmission Engineer,Westwood Professional Services,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Psychology,Lead Server,White Bear Yacht Club,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Retail & Consumer Products,Management & Leadership
MS Operations & Supply Chain Mgmt,Career Development Manager,White Cap International,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,"Construction, Engineering & Real Estate",Management & Leadership
Journalism,Communications Coordinator,Wilderness Inquiry,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Journalism & Media,Education & Academia,Marketing & Communications
Mechanical Engineering,Mechanical Engineer,Williams,School of Engineering,Bachelor's degree,Michigan,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Energy & Utilities,Engineering
Data Analytics,Financial Advisor,Wings Credit Union,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Financial Services & Insurance,Finance & Accounting
Accounting,Accountant,Wipfli,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Journalism,Reporter,WMDT-TV,College of Arts & Sciences,Bachelor's degree,Maryland,2023,COMMUNICATION & MEDIA,Journalism & Media,Retail & Consumer Products,Marketing & Communications
Biology,Neurophysiologist,Wr Medical Electronics,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Civil Engineering,Engineer,Wsb Engineering Group,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Civil Engineering,Water Resources Engineer,Wsb Engineering Group,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
MS Operations & Supply Chain Mgmt,Buyer,Wunderlich-Malec Engineering,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Manufacturing & Industrial,Operations & Supply Chain
Electrical Engineering,Electric Distribution Engineer,Xcel Energy,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Energy & Utilities,Engineering
Mechanical Engineering,Launch Manager,Xcel Energy,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Energy & Utilities,Management & Leadership
Entrepreneurship,Social Media Manager,Yellow Brick Road,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Retail & Consumer Products,Marketing & Communications
Law & Compliance,Lifeguard,YMCA,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Government & Public Service,Government & Public Service
Computer Engineering,,YNTO Productions,School of Engineering,Bachelor's degree,Colorado,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Retail & Consumer Products,Other
